time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed_(km/hr),Labels
2022-03-11 14:29:41.356,0.04003333333333333,0.6675666666666666,0.37883333333333336,-0.48480000000000006,1.0601,-0.8998,0.013,-0.19010000000000002,-0.0429,18.682266666666667,-41.20753333333332,-22.614733333333334,227.984,-40.5251,-1.9744,48.743652606666664,9.09635074,23.747999964,Asphalt_Ride
2022-03-11 14:29:41.406,0.019137499999999995,0.6165875,0.630325,-0.43473750000000005,0.9822250000000001,2.2737625,0.0335625,-0.2162625,0.030075000000000005,18.675150000000002,-41.344274999999996,-22.620325,228.25455000000002,-40.7532,-1.7712499999999998,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.456,-0.0689,0.7734833333333334,0.5467333333333334,-0.015550000000000008,0.14744999999999994,0.20669999999999997,0.2342,0.2921,0.07740000000000001,18.792066666666667,-41.5776,-22.452066666666667,228.24723333333336,-41.033233333333335,-1.1731666666666667,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.506,-0.007979999999999998,0.59996,1.25832,0.3736,-0.6406,-3.7644999999999995,-0.032359999999999986,0.12398000000000002,0.07316,18.9954,-41.846,-22.0698,228.1083,-41.0592,-0.9757,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.556,0.08375,0.6079249999999999,1.388375,-0.6904,1.1566,-0.659,-0.4322,-0.1282,0.0668,19.032,-41.9009,-22.0454,227.817825,-41.58,-1.266175,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.606,-0.08272499999999999,0.6863125,0.7039875,-0.07752500000000001,0.24534999999999996,1.8791250000000002,0.2865,0.0535,0.0731,19.128075000000003,-42.015275,-21.888325000000002,227.9411,-41.124700000000004,-0.9322999999999999,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.656,-0.02865000000000001,0.47931666666666667,0.2752333333333333,0.17433333333333337,-0.35263333333333335,1.7183,0.264,0.1204,0.0522,19.271933333333333,-42.14083333333333,-21.569600000000005,227.50594999999998,-40.86095,-0.7136999999999999,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.706,-0.0712,0.84355,0.9957,-0.0574,-0.4551,-1.6491,0.264,0.1204,0.0522,19.4956,-42.273,-21.0816,226.8507,-41.2261,-0.9258,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.756,0.064,0.46866666666666673,0.5901333333333333,-0.10339999999999999,-0.6962,-1.4894500000000004,-0.19999999999999998,-0.13318333333333332,0.12478333333333332,19.503733333333333,-42.2791,-21.040933333333335,226.79663333333335,-41.68816666666667,-0.9602666666666666,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.806,-0.07276250000000001,0.636125,0.6100125000000001,-0.13472499999999998,-0.6221000000000001,-1.159175,-0.0008000000000000001,0.1128,0.13450000000000004,19.5444,-42.311125,-20.826924999999996,226.65786250000002,-42.2775375,-0.7645999999999998,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.856,-0.03451428571428571,0.6866,1.0918857142857143,-0.7724142857142857,0.25001428571428574,1.1289285714285715,-0.050228571428571435,0.04201428571428571,0.24664285714285716,19.553114285714283,-42.31482857142857,-20.722571428571428,226.45602857142853,-41.823257142857145,-0.3062285714285714,48.743627,9.09630706,23.219999316000003,Asphalt_Ride
2022-03-11 14:29:41.906,-0.0178,0.7436,0.3919,-1.2837,0.1949,2.4611,-0.07,0.0137,0.2915,19.6054,-42.273,-20.5448,226.0791,-42.0824,-0.2628,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:41.956,-0.030500000000000003,0.5408142857142858,0.7005,-0.8459857142857141,0.33992857142857147,1.783042857142857,-0.05450000000000001,0.13562857142857143,0.16342857142857142,19.58622857142857,-42.25208571428572,-20.558742857142853,225.5091857142857,-42.03984285714286,-0.032271428571428555,48.743627,9.09630706,23.219999316000003,Asphalt_Ride
2022-03-11 14:29:42.006,0.05477142857142858,0.5028857142857143,0.5903,-0.47841428571428574,0.12687142857142858,0.5024428571428572,-0.014442857142857143,-0.005742857142857135,-0.02844285714285714,19.413685714285716,-42.016799999999996,-20.72082857142857,224.68542857142856,-41.911457142857145,0.25265714285714286,48.743627,9.09630706,23.219999316000003,Asphalt_Ride
2022-03-11 14:29:42.056,0.053779999999999994,0.65356,0.9316000000000001,-0.3802,-0.6777,-1.4277,0.0017399999999999998,0.08062,-0.07899999999999999,19.29308,-41.83136,-20.86932,224.3022,-41.4816,0.118,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:42.106,-0.091,0.6595500000000001,0.8094000000000001,0.336875,-0.8565,-0.757425,0.0035,0.1889,-0.0752,19.1174,-41.6752,-21.045,224.57405,-41.265049999999995,-0.019799999999999998,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:42.156,-0.14176666666666668,0.6132333333333334,1.2207666666666666,0.474,-0.71735,-0.22304999999999997,-0.022083333333333333,-0.11468333333333332,-0.026866666666666664,19.0198,-41.64469999999999,-21.1975,224.9054,-41.014966666666666,-0.2767,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:42.206,-0.060371428571428576,0.9464,0.6199857142857143,-0.12315714285714285,0.22807142857142854,1.4585571428571427,0.07218571428571428,-0.10592857142857141,0.05064285714285715,18.6782,-41.57062857142857,-21.716000000000005,225.0244,-40.9479,-0.5149,48.743627,9.09630706,23.219999316000003,Asphalt_Ride
2022-03-11 14:29:42.256,-0.34535000000000005,0.8454333333333334,0.8027000000000001,-0.6490999999999999,-0.061900000000000004,2.2197,0.17106666666666662,-0.023150000000000004,0.12775,18.515533333333334,-41.5654,-21.92746666666667,225.24681666666666,-40.55181666666667,-0.1460666666666667,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:42.306,0.20074,0.48417999999999994,0.6258800000000001,-0.52718,2.2113,-0.9439800000000002,0.0029,-0.0724,0.061,18.3854,-41.5898,-22.0576,224.67168,-41.03168000000001,0.05364,48.743627,9.09630706,23.219999316,Asphalt_Ride
2022-03-11 14:29:42.356,0.05076666666666666,0.6517666666666667,0.18426666666666666,-0.35635,0.5518499999999997,-1.3254,0.1029,0.25833333333333336,0.2559333333333333,18.304066666666667,-41.6813,-21.9661,223.99810000000002,-41.29376666666666,-0.10796666666666666,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.406,-0.011200000000000002,0.12119999999999997,1.5361399999999998,-0.21600000000000003,-1.6759,-0.9159,-0.040979999999999996,0.29178000000000004,0.25316,18.07552,-41.72888,-22.130800000000004,223.34846000000002,-41.0306,-0.43872,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.456,0.062459999999999995,0.49022,1.11486,-0.46420000000000006,0.3945,-0.7041,-0.3318,0.0939,0.1028,17.9218,-41.76548,-22.25524,222.8339,-40.863,0.2028,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.506,0.05298333333333333,0.47074999999999995,1.0530333333333335,0.0019499999999999889,-0.70745,-0.76315,0.1047,0.28109999999999996,0.028600000000000004,17.873,-41.8338,-22.265,222.70493333333334,-41.13316666666666,0.16233333333333336,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.556,-0.1605,0.6303999999999998,1.0864500000000001,0.5158333333333333,-1.6602499999999998,-0.23765000000000014,0.1785,0.09830000000000001,-0.1749333333333333,17.781499999999998,-41.8338,-22.468333333333334,222.27756666666664,-41.61246666666666,-0.21043333333333333,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.606,0.0208,0.76195,0.745125,0.7545,-0.9145,2.6851,0.2154,0.0069,-0.2767,17.8181,-41.96190000000001,-22.326,221.9387,-41.4904,-0.7941,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.656,-0.12170000000000002,0.7484833333333333,0.68065,-0.04458333333333334,0.33966666666666673,-0.9330666666666666,-0.439,-0.018,-0.2037,17.8364,-42.0046,-22.265,222.32185,-41.98080000000001,-1.02465,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.706,-0.09895,0.7466500000000001,0.9818166666666666,-0.10406666666666668,0.9218333333333334,1.3223666666666667,-0.10225000000000002,-0.13783333333333334,-0.006200000000000001,17.9096,-42.114399999999996,-21.8014,222.98623333333333,-42.30616666666667,-1.5112333333333332,48.74358876,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.756,-0.08991428571428571,0.730942857142857,0.7384000000000001,-0.21295714285714287,0.6873285714285713,1.8931571428571428,0.14932857142857142,0.040999999999999995,0.16490000000000002,17.846857142857143,-42.18760000000001,-21.68637142857143,223.57510000000002,-41.69321428571429,-1.9020285714285712,48.74358876000001,9.09624495,23.615999784,Asphalt_Ride
2022-03-11 14:29:42.806,0.02873333333333333,0.527,0.8339333333333333,-0.6106,-0.3131,-0.4037,0.2875,0.19309999999999997,0.2636,17.779466666666668,-42.24046666666667,-21.480133333333338,223.73349999999996,-39.9959,-1.1744,48.74358876,9.09624495,23.615999784,Asphalt_Ride
