time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:05:24:900,0.0665,0.4718,1.1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:05:24:900,0.1401,0.5436,0.9436,0,0,0,0,0,0,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:901,-0.0447,0.7375,0.417,0,0,0,0,0,0,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:934,-0.1489,0.6986,0.7141,0,0,0,0,0,0,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:937,-0.1489,0.6986,0.7141,0,0,0,0.0298,-0.0107,-0.0854,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:939,-0.0278,0.5424,1.0304,0,0,0,0.0298,-0.0107,-0.0854,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:958,0.0924,0.6035,0.7981,0,0,0,0.0298,-0.0107,-0.0854,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:994,0.0924,0.6035,0.7981,0,0,0,0.0503,0.039,-0.0126,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:996,-0.0408,0.7008,0.6077,0,0,0,0.0503,0.039,-0.0126,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:997,-0.1066,0.6553,0.7617,0,0,0,0.0503,0.039,-0.0126,0,0,0,0,0,0,48.74560358,9.10682439,0,Stop
15:05:24:999,-0.1066,0.6553,0.7617,0,0,0,0.0503,0.039,-0.0126,24.7782,-17.0068,-45.0668,0,0,0,48.74560358,9.10682439,0,Stop
15:05:25:009,-0.0305,0.571,0.936,0,0,0,0.0503,0.039,-0.0126,24.7782,-17.0068,-45.0668,0,0,0,48.74560358,9.10682439,0,Stop
15:05:25:010,-0.0305,0.571,0.936,0,0,0,0.0503,0.039,-0.0126,24.7782,-17.0068,-45.0668,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:025,0.0306,0.6463,0.7275,0,0,0,0.0503,0.039,-0.0126,24.7782,-17.0068,-45.0668,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:062,0.0306,0.6463,0.7275,0,0,0,0.0503,0.039,-0.0126,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:065,-0.0377,0.6776,0.6815,0,0,0,0.0503,0.039,-0.0126,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:067,-0.0377,0.6776,0.6815,0,0,0,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:074,-0.0545,0.6204,0.8397,0,0,0,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:076,-0.0545,0.6204,0.8397,0.0688,-0.0175,0.1231,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:092,0.0049,0.6143,0.8053,0.0688,-0.0175,0.1231,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:129,-0.0022,0.6602,0.7104,0.0688,-0.0175,0.1231,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:131,-0.0418,0.6429,0.7757,0.0688,-0.0175,0.1231,0.0245,0.0041,0.0205,24.766,-16.6774,-44.3714,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:133,-0.0418,0.6429,0.7757,0.0688,-0.0175,0.1231,0.0245,0.0041,0.0205,24.6074,-16.8116,-44.5056,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:134,-0.0418,0.6429,0.7757,0.0688,-0.0175,0.1231,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:143,-0.022,0.6229,0.8223,0.0688,-0.0175,0.1231,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:144,-0.022,0.6229,0.8223,0.1652,-0.0314,0.0772,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,0,0,0,48.74560389,9.10682424,0,Stop
15:05:25:145,-0.022,0.6229,0.8223,0.1652,-0.0314,0.0772,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:189,-0.0071,0.6453,0.7451,0.1652,-0.0314,0.0772,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:190,-0.0269,0.6434,0.7612,0.1652,-0.0314,0.0772,0.0149,0.0087,0.0134,24.6074,-16.8116,-44.5056,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:196,-0.0269,0.6434,0.7612,0.1652,-0.0314,0.0772,0.0149,0.0087,0.0134,24.4976,-16.8238,-44.6032,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:202,-0.0269,0.6434,0.7612,0.1652,-0.0314,0.0772,0.0092,0.0007,0.0144,24.4976,-16.8238,-44.6032,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:213,-0.0269,0.6434,0.7612,0.1373,-0.0312,0.1111,0.0092,0.0007,0.0144,24.4976,-16.8238,-44.6032,305.4129,-40.6182,-2.5215,48.74560389,9.10682424,0,Stop
15:05:25:215,-0.0269,0.6434,0.7612,0.1373,-0.0312,0.1111,0.0092,0.0007,0.0144,24.4976,-16.8238,-44.6032,304.6168,-40.4759,-2.0491,48.74560389,9.10682424,0,Stop
15:05:25:216,-0.0239,0.6343,0.7991,0.1373,-0.0312,0.1111,0.0092,0.0007,0.0144,24.4976,-16.8238,-44.6032,304.6168,-40.4759,-2.0491,48.74560389,9.10682424,0,Stop
15:05:25:224,-0.0073,0.6473,0.749,0.1373,-0.0312,0.1111,0.0092,0.0007,0.0144,24.4976,-16.8238,-44.6032,304.6168,-40.4759,-2.0491,48.74560389,9.10682424,0,Stop
15:05:25:263,-0.0073,0.6473,0.749,0.1373,-0.0312,0.1111,0.0092,0.0007,0.0144,24.4976,-16.7384,-44.5422,304.6168,-40.4759,-2.0491,48.74560389,9.10682424,0,Stop
